"Freq [GHz]","Theta [deg]","Phi [deg]","dB(DirTheta) []"
10,90,0,-40.6624128390615
10,90,0.5,-42.7556184901148
10,90,1,-45.2592542058981
10,90,1.5,-47.8149824862089
10,90,2,-48.6878809191802
10,90,2.5,-46.797905855118
10,90,3,-44.1234734211623
10,90,3.5,-41.7514502755974
10,90,4,-39.7862663182421
10,90,4.5,-38.1513003628856
10,90,5,-36.769100898937
10,90,5.5,-35.5820920787838
10,90,6,-34.5492329922258
10,90,6.5,-33.6410430549254
10,90,7,-32.835928873062
10,90,7.5,-32.1177354516534
10,90,8,-31.4741346892306
10,90,8.5,-30.8955524605173
10,90,9,-30.3744405363011
10,90,9.5,-29.9047722141605
10,90,10,-29.4816858831867
10,90,10.5,-29.1012284639509
10,90,11,-28.7601676857106
10,90,11.5,-28.4558527670685
10,90,12,-28.1861097942262
10,90,12.5,-27.9491624431908
10,90,13,-27.7435715634059
10,90,13.5,-27.5681890717079
10,90,14,-27.4221229307438
10,90,14.5,-27.3047109143284
10,90,15,-27.2155015276409
10,90,15.5,-27.1542409402567
10,90,16,-27.1208651634586
10,90,16.5,-27.1154970005496
10,90,17,-27.1384475490494
10,90,17.5,-27.1902222586496
10,90,18,-27.2715317663257
10,90,18.5,-27.3833079553561
10,90,19,-27.5267259321413
10,90,19.5,-27.7032328963477
10,90,20,-27.9145852060663
10,90,20.5,-28.1628953131313
10,90,21,-28.4506906487032
10,90,21.5,-28.7809869154042
10,90,22,-29.1573784263239
10,90,22.5,-29.5841477247235
10,90,23,-30.066394787661
10,90,23.5,-30.6101804999203
10,90,24,-31.2226647598861
10,90,24.5,-31.91218475733
10,90,25,-32.6881356009765
10,90,25.5,-33.5603163036915
10,90,26,-34.5369295584327
10,90,26.5,-35.6193199795096
10,90,27,-36.7892053631284
10,90,27.5,-37.9807977684618
10,90,28,-39.0339384115451
10,90,28.5,-39.6690206370911
10,90,29,-39.6134745210487
10,90,29.5,-38.8626020944799
10,90,30,-37.6851613362259
10,90,30.5,-36.3636663570271
10,90,31,-35.0619653670924
10,90,31.5,-33.8481239603799
10,90,32,-32.7416223869009
10,90,32.5,-31.7417875946468
10,90,33,-30.8408734307945
10,90,33.5,-30.0294648967531
10,90,34,-29.2985405070472
10,90,34.5,-28.6401541719666
10,90,35,-28.0475685654892
10,90,35.5,-27.5151856753232
10,90,36,-27.0384161299102
10,90,36.5,-26.6135435053318
10,90,37,-26.2376041844785
10,90,37.5,-25.9082887326754
10,90,38,-25.6238650967376
10,90,38.5,-25.3831220961516
10,90,39,-25.1853314584217
10,90,39.5,-25.0302271241627
10,90,40,-24.9180013399063
10,90,40.5,-24.849318056178
10,90,41,-24.8253453797072
10,90,41.5,-24.8478104118296
10,90,42,-24.9190819631251
10,90,42.5,-25.0422897408579
10,90,43,-25.221493290189
10,90,43.5,-25.4619213225228
10,90,44,-25.7703140411682
10,90,44.5,-26.155421327394
10,90,45,-26.6287452983518
10,90,45.5,-27.2056813737462
10,90,46,-27.9073391985904
10,90,46.5,-28.7635867710932
10,90,47,-29.8184412639368
10,90,47.5,-31.1403323454179
10,90,48,-32.843535626384
10,90,48.5,-35.1385769594893
10,90,49,-38.4681923605041
10,90,49.5,-43.8236033988331
10,90,50,-47.3408139286579
10,90,50.5,-40.5302645175129
10,90,51,-35.7289142069629
10,90,51.5,-32.4330757237905
10,90,52,-29.9318426711665
10,90,52.5,-27.9108542096139
10,90,53,-26.2108284781846
10,90,53.5,-24.7409213830786
10,90,54,-23.4446372853063
10,90,54.5,-22.2845027312782
10,90,55,-21.2343993837277
10,90,55.5,-20.2753956948652
10,90,56,-19.3933264301767
10,90,56.5,-18.5773103199959
10,90,57,-17.8188015813771
10,90,57.5,-17.1109603660469
10,90,58,-16.4482216789064
10,90,58.5,-15.8259921906049
10,90,59,-15.240431984113
10,90,59.5,-14.6882942062748
10,90,60,-14.1668051194858
10,90,60.5,-13.6735729237733
10,90,61,-13.2065174455891
10,90,61.5,-12.763815211793
10,90,62,-12.3438560371337
10,90,62.5,-11.9452083450572
10,90,63,-11.5665911952896
10,90,63.5,-11.2068515206083
10,90,64,-10.8649454521551
10,90,64.5,-10.5399228849823
10,90,65,-10.2309146348299
10,90,65.5,-9.93712168471097
10,90,66,-9.65780613037019
10,90,66.5,-9.39228351723699
10,90,67,-9.13991632529289
10,90,67.5,-8.90010840740798
10,90,68,-8.67230022486236
10,90,68.5,-8.45596475363129
10,90,69,-8.25060395854849
10,90,69.5,-8.05574575113541
10,90,70,-7.87094136178731
10,90,70.5,-7.6957630689692
10,90,71,-7.52980223772047
10,90,71.5,-7.3726676275811
10,90,72,-7.22398393640269
10,90,72.5,-7.0833905516848
10,90,73,-6.95054048530428
10,90,73.5,-6.82509947096165
10,90,74,-6.70674520649286
10,90,74.5,-6.59516672550094
10,90,75,-6.49006388463909
10,90,75.5,-6.39114695439938
10,90,76,-6.29813630248936
10,90,76.5,-6.21076215986355
10,90,77,-6.12876446025975
10,90,77.5,-6.051892744709
10,90,78,-5.97990612297421
10,90,78.5,-5.9125732842534
10,90,79,-5.84967254978531
10,90,79.5,-5.79099196024026
10,90,80,-5.73632939098676
10,90,80.5,-5.68549268851534
10,90,81,-5.63829982148929
10,90,81.5,-5.5945790400951
10,90,82,-5.55416903759288
10,90,82.5,-5.51691910823289
10,90,83,-5.48268929601351
10,90,83.5,-5.45135052911732
10,90,84,-5.42278473527649
10,90,84.5,-5.39688493378855
10,90,85,-5.37355530042652
10,90,85.5,-5.35271120205891
10,90,86,-5.33427919840883
10,90,86.5,-5.31819700902883
10,90,87,-5.30441344423794
10,90,87.5,-5.29288829944976
10,90,88,-5.283592213
10,90,88.5,-5.27650648824947
10,90,89,-5.27162288137705
10,90,89.5,-5.26894335687888
10,90,90,-5.26847981334046
10,90,90.5,-5.2702537825398
10,90,91,-5.27429610536407
10,90,91.5,-5.28064658837332
10,90,92,-5.28935364511959
10,90,92.5,-5.30047392652602
10,90,93,-5.31407194475043
10,90,93.5,-5.33021969500206
10,90,94,-5.34899627975447
10,90,94.5,-5.3704875397093
10,90,95,-5.39478569571757
10,90,95.5,-5.4219890056715
10,90,96,-5.45220144014457
10,90,96.5,-5.48553238029227
10,90,97,-5.52209634123914
10,90,97.5,-5.56201272387906
10,90,98,-5.60540559771274
10,90,98.5,-5.65240351704856
10,90,99,-5.70313937260738
10,90,99.5,-5.75775028030505
10,90,100,-5.81637750874567
10,90,100.5,-5.87916644674904
10,90,101,-5.94626661206225
10,90,101.5,-6.01783170227357
10,90,102,-6.09401968886008
10,90,102.5,-6.17499295526407
10,90,103,-6.26091847991031
10,90,103.5,-6.3519680651522
10,90,104,-6.44831861327383
10,90,104.5,-6.5501524508819
10,90,105,-6.65765770330425
10,90,105.5,-6.77102872097463
10,90,106,-6.89046656023891
10,90,106.5,-7.01617952157239
10,90,107,-7.14838374886746
10,90,107.5,-7.28730389424912
10,90,108,-7.43317385382127
10,90,108.5,-7.58623758086458
10,90,109,-7.74674998432208
10,90,109.5,-7.91497792196008
10,90,110,-8.09120129941904
10,90,110.5,-8.27571428852832
10,90,111,-8.46882668081399
10,90,111.5,-8.67086539516581
10,90,112,-8.88217616225024
10,90,112.5,-9.10312541259238
10,90,113,-9.33410240047016
10,90,113.5,-9.57552160207486
10,90,114,-9.82782543406967
10,90,114.5,-10.0914873480659
10,90,115,-10.3670153680879
10,90,115.5,-10.6549561523966
10,90,116,-10.9558996788631
10,90,116.5,-11.2704846754322
10,90,117,-11.5994049454673
10,90,117.5,-11.9434167737097
10,90,118,-12.3033476447091
10,90,118.5,-12.6801065652332
10,90,119,-13.0746963599983
10,90,119.5,-13.4882284125635
10,90,120,-13.9219404595587
10,90,120.5,-14.3772182296486
10,90,121,-14.8556219677208
10,90,121.5,-15.358919227536
10,90,122,-15.889125793957
10,90,122.5,-16.4485572717112
10,90,123,-17.0398948483477
10,90,123.5,-17.6662701570096
10,90,124,-18.3313762745356
10,90,124.5,-19.0396150942134
10,90,125,-19.7962962873725
10,90,125.5,-20.607910986326
10,90,126,-21.4825162748788
10,90,126.5,-22.4302884194249
10,90,127,-23.4643408873201
10,90,127.5,-24.6019722246985
10,90,128,-25.8666390520318
10,90,128.5,-27.2912054940777
10,90,129,-28.9235428878199
10,90,129.5,-30.8366287236795
10,90,130,-33.1472270371971
10,90,130.5,-36.0468166207146
10,90,131,-39.7886057199011
10,90,131.5,-43.7364644311308
10,90,132,-43.0935247754545
10,90,132.5,-39.4225857206577
10,90,133,-36.4350681999289
10,90,133.5,-34.2240114556867
10,90,134,-32.5388318454678
10,90,134.5,-31.213624659022
10,90,135,-30.1473977139741
10,90,135.5,-29.2763689213158
10,90,136,-28.558312715043
10,90,136.5,-27.9640797094949
10,90,137,-27.4728372042422
10,90,137.5,-27.069272129985
10,90,138,-26.7418739693965
10,90,138.5,-26.4818393643701
10,90,139,-26.2823499423323
10,90,139.5,-26.1380828792808
10,90,140,-26.044871683994
10,90,140.5,-25.9994670826039
10,90,141,-25.9993666766527
10,90,141.5,-26.0426933396472
10,90,142,-26.1281093359409
10,90,142.5,-26.2547576654261
10,90,143,-26.4222251690158
10,90,143.5,-26.6305240728889
10,90,144,-26.8800902780135
10,90,144.5,-27.1717980665239
10,90,145,-27.5069921864317
10,90,145.5,-27.8875396555652
10,90,146,-28.3159052646814
10,90,146.5,-28.7952568586292
10,90,147,-29.3296092842248
10,90,147.5,-29.9240197214227
10,90,148,-30.584852272743
10,90,148.5,-31.320136247657
10,90,149,-32.1400495106979
10,90,149.5,-33.0575605727919
10,90,150,-34.0892425357708
10,90,150.5,-35.2561660201061
10,90,151,-36.5843731594781
10,90,151.5,-38.1029859332275
10,90,152,-39.8328991657988
10,90,152.5,-41.7420117832383
10,90,153,-43.6032638991328
10,90,153.5,-44.7558196369355
10,90,154,-44.4580073184386
10,90,154.5,-43.0140103198474
10,90,155,-41.253585494771
10,90,155.5,-39.5976242674594
10,90,156,-38.147972513346
10,90,156.5,-36.9002932786562
10,90,157,-35.8266623471666
10,90,157.5,-34.8986216976925
10,90,158,-34.0922654602394
10,90,158.5,-33.3885227825617
10,90,159,-32.7723583974954
10,90,159.5,-32.231890230767
10,90,160,-31.7576556983148
10,90,160.5,-31.3420481561339
10,90,161,-30.9788948651341
10,90,161.5,-30.6631425517005
10,90,162,-30.3906223243654
10,90,162.5,-30.1578726622904
10,90,163,-29.9620049980812
10,90,163.5,-29.8006007708968
10,90,164,-29.6716319623256
10,90,164.5,-29.5733993563052
10,90,165,-29.5044843454468
10,90,165.5,-29.4637112329609
10,90,166,-29.4501177893024
10,90,166.5,-29.4629324113416
10,90,167,-29.5015566657194
10,90,167.5,-29.5655523232233
10,90,168,-29.6546322399541
10,90,168.5,-29.7686546367653
10,90,169,-29.9076204876237
10,90,169.5,-30.0716738624805
10,90,170,-30.2611051903144
10,90,170.5,-30.4763575204305
10,90,171,-30.7180359704725
10,90,171.5,-30.9869206618824
10,90,172,-31.2839835594976
10,90,172.5,-31.6104097496905
10,90,173,-31.9676238019278
10,90,173.5,-32.3573219391197
10,90,174,-32.7815107427199
10,90,174.5,-33.2425529354481
10,90,175,-33.7432202067739
10,90,175.5,-34.2867516474829
10,90,176,-34.8769132758377
10,90,176.5,-35.5180476058012
10,90,177,-36.2150885937212
10,90,177.5,-36.9734890477846
10,90,178,-37.798948924372
10,90,178.5,-38.6967112921784
10,90,179,-39.6699437681708
10,90,179.5,-40.7162364169933
10,90,180,-41.8204170713529
10,90,180.5,-42.9410461623915
10,90,181,-43.989687271832
10,90,181.5,-44.8146906755659
10,90,182,-45.2301331420918
10,90,182.5,-45.1233290343003
10,90,183,-44.5503808967962
10,90,183.5,-43.6860620120418
10,90,184,-42.7019835544009
10,90,184.5,-41.7088861072164
10,90,185,-40.7626719755371
10,90,185.5,-39.8861164012191
10,90,186,-39.0852009585666
10,90,186.5,-38.3582774174026
10,90,187,-37.7006487959975
10,90,187.5,-37.1067263473606
10,90,188,-36.5709927644356
10,90,188.5,-36.0883962216699
10,90,189,-35.6544795392649
10,90,189.5,-35.2653905048324
10,90,190,-34.917842872479
10,90,190.5,-34.6090607151138
10,90,191,-34.3367210517645
10,90,191.5,-34.0989011327582
10,90,192,-33.8940327032239
10,90,192.5,-33.7208636878474
10,90,193,-33.5784269274043
10,90,193.5,-33.466015297707
10,90,194,-33.3831624789735
10,90,194.5,-33.3296286794521
10,90,195,-33.3053906791102
10,90,195.5,-33.3106356056777
10,90,196,-33.3457578554702
10,90,196.5,-33.4113584921353
10,90,197,-33.5082462508799
10,90,197.5,-33.637438868746
10,90,198,-33.8001627281547
10,90,198.5,-33.9978475308781
10,90,199,-34.2321105574541
10,90,199.5,-34.5047214124968
10,90,200,-34.8175320003803
10,90,200.5,-35.1723461467072
10,90,201,-35.5706860983319
10,90,201.5,-36.0133851000181
10,90,202,-36.4998913743612
10,90,202.5,-37.0271061891534
10,90,203,-37.5875080827026
10,90,203.5,-38.1662956179318
10,90,204,-38.7374974470539
10,90,204.5,-39.2598655770158
10,90,205,-39.6753891120579
10,90,205.5,-39.9158260740203
10,90,206,-39.9215941367061
10,90,206.5,-39.66709286122
10,90,207,-39.1739515242252
10,90,207.5,-38.499882366561
10,90,208,-37.713605639337
10,90,208.5,-36.8748571150161
10,90,209,-36.0267890735698
10,90,209.5,-35.1969595361939
10,90,210,-34.4013551800138
10,90,210.5,-33.6483597658042
10,90,211,-32.9417153470791
10,90,211.5,-32.2824818376676
10,90,212,-31.6702567506074
10,90,212.5,-31.1039087876267
10,90,213,-30.5820094363113
10,90,213.5,-30.1030824979638
10,90,214,-29.6657458853398
10,90,214.5,-29.2687907471801
10,90,215,-28.9112250048888
10,90,215.5,-28.5922976038231
10,90,216,-28.311513397855
10,90,216.5,-28.0686448578472
10,90,217,-27.8637446747833
10,90,217.5,-27.6971622026205
10,90,218,-27.5695662059032
10,90,218.5,-27.4819763588137
10,90,219,-27.4358063102384
10,90,219.5,-27.432921890014
10,90,220,-27.4757192674432
10,90,220.5,-27.5672297560705
10,90,221,-27.7112607826966
10,90,221.5,-27.9125867803253
10,90,222,-28.177210178982
10,90,222.5,-28.5127224196992
10,90,223,-28.9288096970149
10,90,223.5,-29.437969990117
10,90,224,-30.0565376345107
10,90,224.5,-30.8061408113414
10,90,225,-31.7156944944759
10,90,225.5,-32.8237173388958
10,90,226,-34.1790828953745
10,90,226.5,-35.8303739839771
10,90,227,-37.7581916213572
10,90,227.5,-39.5858827232032
10,90,228,-40.0830161396811
10,90,228.5,-38.4730701555211
10,90,229,-35.9695552385637
10,90,229.5,-33.5458911202209
10,90,230,-31.4200644246727
10,90,230.5,-29.5761829376283
10,90,231,-27.9623120466216
10,90,231.5,-26.531924467133
10,90,232,-25.2490687917731
10,90,232.5,-24.0867204363837
10,90,233,-23.0244849392495
10,90,233.5,-22.0467612283443
10,90,234,-21.1414210627812
10,90,234.5,-20.2988825712416
10,90,235,-19.5114594124031
10,90,235.5,-18.7728985817048
10,90,236,-18.0780474651355
10,90,236.5,-17.4226103240539
10,90,237,-16.8029674955545
10,90,237.5,-16.2160392179569
10,90,238,-15.6591816760306
10,90,238.5,-15.1301066401077
10,90,239,-14.6268186160569
10,90,239.5,-14.1475651567123
10,90,240,-13.6907971834439
10,90,240.5,-13.2551370057538
10,90,241,-12.8393523222738
10,90,241.5,-12.4423349143819
10,90,242,-12.0630830546953
10,90,242.5,-11.7006868813704
10,90,243,-11.3543161590256
10,90,243.5,-11.0232099746024
10,90,244,-10.7066680130478
10,90,244.5,-10.4040431315129
10,90,245,-10.114735007647
10,90,245.5,-9.83818468175442
10,90,246,-9.57386984717165
10,90,246.5,-9.32130077048572
10,90,247,-9.08001674485302
10,90,247.5,-8.84958299696041
10,90,248,-8.62958798205559
10,90,248.5,-8.41964101269622
10,90,249,-8.21937017598438
10,90,249.5,-8.0284205014949
10,90,250,-7.84645234821383
10,90,250.5,-7.67313998383012
10,90,251,-7.50817033388192
10,90,251.5,-7.35124188170607
10,90,252,-7.20206370300471
10,90,252.5,-7.06035462123018
10,90,253,-6.92584247197727
10,90,253.5,-6.79826346622991
10,90,254,-6.6773616436873
10,90,254.5,-6.56288840853758
10,90,255,-6.45460214099049
10,90,255.5,-6.35226787865341
10,90,256,-6.25565706246075
10,90,256.5,-6.16454734236823
10,90,257,-6.07872243841559
10,90,257.5,-5.99797205306125
10,90,258,-5.92209183091316
10,90,258.5,-5.85088336213294
10,90,259,-5.78415422588808
10,90,259.5,-5.72171807027824
10,90,260,-5.66339472517723
10,90,260.5,-5.60901034442157
10,90,261,-5.55839757374649
10,90,261.5,-5.51139574083293
10,90,262,-5.46785106378807
10,90,262.5,-5.42761687434859
10,90,263,-5.39055385207492
10,90,263.5,-5.3565302658027
10,90,264,-5.32542221864154
10,90,264.5,-5.29711389286319
10,90,265,-5.27149779110734
10,90,265.5,-5.2484749704549
10,90,266,-5.22795526607679
10,90,266.5,-5.20985750136297
10,90,267,-5.19410968166939
10,90,267.5,-5.1806491690878
10,90,268,-5.16942283594373
10,90,268.5,-5.16038719505465
10,90,269,-5.153508505132
10,90,269.5,-5.14876285007929
10,90,270,-5.1461361913197
10,90,270.5,-5.14562439267445
10,90,271,-5.14723321770132
10,90,271.5,-5.15097829978512
10,90,272,-5.15688508564389
10,90,272.5,-5.16498875327011
10,90,273,-5.17533410566211
10,90,273.5,-5.18797544201137
10,90,274,-5.20297640829661
10,90,274.5,-5.22040982948987
10,90,275,-5.24035752580526
10,90,275.5,-5.26291011561424
10,90,276,-5.28816680781514
10,90,276.5,-5.31623518657794
10,90,277,-5.34723099149129
10,90,277.5,-5.38127789621957
10,90,278,-5.4185072888345
10,90,278.5,-5.4590580570254
10,90,279,-5.5030763814133
10,90,279.5,-5.55071554020625
10,90,280,-5.60213572843592
10,90,280.5,-5.65750389501679
10,90,281,-5.7169936008722
10,90,281.5,-5.78078490138231
10,90,282,-5.84906425643188
10,90,282.5,-5.92202447137869
10,90,283,-5.99986467232996
10,90,283.5,-6.08279031921366
10,90,284,-6.17101326026927
10,90,284.5,-6.26475183176875
10,90,285,-6.36423100701986
10,90,285.5,-6.46968259901334
10,90,286,-6.58134552146301
10,90,286.5,-6.69946611346779
10,90,287,-6.82429853361334
10,90,287.5,-6.95610523004734
10,90,288,-7.09515749392854
10,90,288.5,-7.24173610469361
10,90,289,-7.39613207684008
10,90,289.5,-7.55864751942785
10,90,290,-7.72959662130606
10,90,290.5,-7.909306777236
10,90,291,-8.09811987267962
10,90,291.5,-8.29639374814924
10,90,292,-8.50450386778682
10,90,292.5,-8.72284522140149
10,90,293,-8.95183449473502
10,90,293.5,-9.19191254947475
10,90,294,-9.44354726279914
10,90,294.5,-9.70723678640903
10,90,295,-9.98351329756768
10,90,295.5,-10.272947330306
10,90,296,-10.5761527944987
10,90,296.5,-10.8937928151258
10,90,297,-11.226586555215
10,90,297.5,-11.5753172257536
10,90,298,-11.9408415370216
10,90,298.5,-12.3241009121246
10,90,299,-12.7261348701984
10,90,299.5,-13.1480971011441
10,90,300,-13.5912749061104
10,90,300.5,-14.0571128830114
10,90,301,-14.5472420154628
10,90,301.5,-15.0635157078785
10,90,302,-15.6080548456099
10,90,302.5,-16.1833047171663
10,90,303,-16.7921077235959
10,90,303.5,-17.4377973865456
10,90,304,-18.124321519446
10,90,304.5,-18.856405980489
10,90,305,-19.6397759006677
10,90,305.5,-20.4814598878929
10,90,306,-21.3902165313603
10,90,306.5,-22.3771451916151
10,90,307,-23.4565808716408
10,90,307.5,-24.6474365866397
10,90,308,-25.97526188237
10,90,308.5,-27.4754435685548
10,90,309,-29.1981072641455
10,90,309.5,-31.2147028326098
10,90,310,-33.6203929610657
10,90,310.5,-36.4848970485427
10,90,311,-39.460305530971
10,90,311.5,-40.595607734597
10,90,312,-38.7325904419098
10,90,312.5,-36.1758194386445
10,90,313,-34.0049000622047
10,90,313.5,-32.2743813935088
10,90,314,-30.8879441864816
10,90,314.5,-29.7609595556121
10,90,315,-28.8330427219437
10,90,315.5,-28.0619851942549
10,90,316,-27.4178201151963
10,90,316.5,-26.8787786275129
10,90,317,-26.4286855484206
10,90,317.5,-26.0552781432754
10,90,318,-25.7491006741678
10,90,318.5,-25.5027611583965
10,90,319,-25.3104205816327
10,90,319.5,-25.1674348328344
10,90,320,-25.0700994332865
10,90,320.5,-25.0154651487697
10,90,321,-25.0012036905474
10,90,321.5,-25.025509731286
10,90,322,-25.0870300087569
10,90,322.5,-25.1848133194837
10,90,323,-25.318277293724
10,90,323.5,-25.4871893520035
10,90,324,-25.6916604063958
10,90,324.5,-25.9321508513038
10,90,325,-26.2094893183691
10,90,325.5,-26.5249056693478
10,90,326,-26.8800809059367
10,90,326.5,-27.2772182679017
10,90,327,-27.7191420398049
10,90,327.5,-28.2094339222554
10,90,328,-28.7526219679947
10,90,328.5,-29.3544452992251
10,90,329,-30.0222314076525
10,90,329.5,-30.7654461485425
10,90,330,-31.5965182244295
10,90,330.5,-32.5321181256899
10,90,331,-33.5952265107099
10,90,331.5,-34.8186556881934
10,90,332,-36.251444347175
10,90,332.5,-37.9714761801145
10,90,333,-40.1133087047496
10,90,333.5,-42.9399572434415
10,90,334,-47.0774098378612
10,90,334.5,-54.5792223151055
10,90,335,-56.9787747452902
10,90,335.5,-48.3737756624101
10,90,336,-43.9438350823621
10,90,336.5,-41.0529510674704
10,90,337,-38.9294130465003
10,90,337.5,-37.2659375766897
10,90,338,-35.9102111027774
10,90,338.5,-34.7758368610842
10,90,339,-33.8091497679857
10,90,339.5,-32.9745699679667
10,90,340,-32.2473242748283
10,90,340.5,-31.6094966488458
10,90,341,-31.047734588671
10,90,341.5,-30.5518432662627
10,90,342,-30.113885088253
10,90,342.5,-29.7275816089324
10,90,343,-29.3879039791452
10,90,343.5,-29.0907852033049
10,90,344,-28.8329135568706
10,90,344.5,-28.61158157704
10,90,345,-28.4245740578139
10,90,345.5,-28.2700840568327
10,90,346,-28.1466494700715
10,90,346.5,-28.0531050497267
10,90,347,-27.9885462955245
10,90,347.5,-27.9523027195809
10,90,348,-27.9439187424649
10,90,348.5,-27.9631410332406
10,90,349,-28.0099115315041
10,90,349.5,-28.0843657349167
10,90,350,-28.1868361385322
10,90,350.5,-28.3178610025948
10,90,351,-28.4781989316133
10,90,351.5,-28.6688500996359
10,90,352,-28.8910853916557
10,90,352.5,-29.1464852983936
10,90,353,-29.4369911719199
10,90,353.5,-29.7649725277225
10,90,354,-30.1333156260552
10,90,354.5,-30.5455408347625
10,90,355,-31.0059596731904
10,90,355.5,-31.519887625733
10,90,356,-32.093936897304
10,90,356.5,-32.7364261207659
10,90,357,-33.4579647670011
10,90,357.5,-34.2723039068107
10,90,358,-35.197600214841
10,90,358.5,-36.2583263234548
10,90,359,-37.4881721919692
10,90,359.5,-38.9342975195133
10,90,360,-40.6624128390615
