"Freq [GHz]","Phi [deg]","Theta [deg]","dB(DirPhi) []"
10,0,0,16.0063282342105
10,0,0.5,16.00310979494
10,0,1,15.9930342301022
10,0,1.5,15.9761002654724
10,0,2,15.9523056328688
10,0,2.5,15.921647063035
10,0,3,15.8841202725366
10,0,3.5,15.8397199440262
10,0,4,15.7884396990389
10,0,4.5,15.730272062293
10,0,5,15.6652084162908
10,0,5.5,15.5932389448451
10,0,6,15.5143525640004
10,0,6.5,15.4285368386854
10,0,7,15.3357778833217
10,0,7.5,15.2360602445414
10,0,8,15.1293667641256
10,0,8.5,15.0156784202951
10,0,9,14.8949741455496
10,0,9.5,14.7672306193932
10,0,10,14.6324220344926
10,0,10.5,14.4905198351108
10,0,11,14.3414924270406
10,0,11.5,14.1853048587407
10,0,12,14.0219184739484
10,0,12.5,13.8512905367121
10,0,13,13.6733738305403
10,0,13.5,13.4881162342013
10,0,14,13.2954602776068
10,0,14.5,13.0953426821559
10,0,15,12.8876938908747
10,0,15.5,12.6724375946328
10,0,16,12.4494902616083
10,0,16.5,12.2187606779701
10,0,17,11.9801495084037
10,0,17.5,11.733548885573
10,0,18,11.4788420378524
10,0,18.5,11.215902964615
10,0,19,10.9445961680114
10,0,19.5,10.6647764494679
10,0,20,10.3762887780684
10,0,20.5,10.0789682365555
10,0,21,9.77264004890218
10,0,21.5,9.45711969132718
10,0,22,9.13221308629758
10,0,22.5,8.79771687661364
10,0,23,8.45341877423418
10,0,23.5,8.09909797628912
10,0,24,7.73452563900859
10,0,24.5,7.35946539943538
10,0,25,6.97367393525253
10,0,25.5,6.57690155547149
10,0,26,6.16889281989882
10,0,26.5,5.74938719429893
10,0,27,5.31811976238523
10,0,27.5,4.87482203703299
10,0,28,4.41922294379892
10,0,28.5,3.95105009308001
10,0,29,3.47003151712616
10,0,29.5,2.97589812994817
10,0,30,2.46838727882255
10,0,30.5,1.9472479044542
10,0,31,1.41224802418754
10,0,31.5,0.863185512978438
10,0,32,0.299903496964161
10,0,32.5,-0.27768788678717
10,0,33,-0.869581055156403
10,0,33.5,-1.47562887538885
10,0,34,-2.09548709643074
10,0,34.5,-2.72853665024258
10,0,35,-3.37378037378345
10,0,35.5,-4.02970832680668
10,0,36,-4.69412654390521
10,0,36.5,-5.36394687314387
10,0,37,-6.03494228903219
10,0,37.5,-6.70148516616416
10,0,38,-7.35630801535417
10,0,38.5,-7.99035792715876
10,0,39,-8.59285255611405
10,0,39.5,-9.15167065627036
10,0,40,-9.65419308606988
10,0,40.5,-10.0886146773876
10,0,41,-10.4455637378183
10,0,41.5,-10.7196540674981
10,0,42,-10.910487528379
10,0,42.5,-11.022744634123
10,0,43,-11.0653266573637
10,0,43.5,-11.0498610257987
10,0,44,-10.9890489631925
10,0,44.5,-10.8952648101623
10,0,45,-10.7796131238309
10,0,45.5,-10.6514530598655
10,0,46,-10.5182859213423
10,0,46.5,-10.3858718996277
10,0,47,-10.2584617048105
10,0,47.5,-10.1390647532558
10,0,48,-10.0297087855542
10,0,48.5,-9.93166959707537
10,0,49,-9.84566406628783
10,0,49.5,-9.77200728744163
10,0,50,-9.71073790096619
10,0,50.5,-9.66171659056172
10,0,51,-9.62470242118203
10,0,51.5,-9.59941094667017
10,0,52,-9.58555719924924
10,0,52.5,-9.58288596201763
10,0,53,-9.59119118313041
10,0,53.5,-9.61032601954975
10,0,54,-9.64020477309203
10,0,54.5,-9.68079786469644
10,0,55,-9.73212094638169
10,0,55.5,-9.79421924190356
10,0,56,-9.8671482135241
10,0,56.5,-9.95095166087512
10,0,57,-10.0456383657487
10,0,57.5,-10.1511584083275
10,0,58,-10.2673803042994
10,0,58.5,-10.3940701563757
10,0,59,-10.5308740805242
10,0,59.5,-10.6773052492907
10,0,60,-10.832736970286
10,0,60.5,-10.9964032488194
10,0,61,-11.1674082146243
10,0,61.5,-11.3447455565507
10,0,62,-11.5273286382133
10,0,62.5,-11.7140312122251
10,0,63,-11.9037376043357
10,0,63.5,-12.0953999641575
10,0,64,-12.2880988250656
10,0,64.5,-12.4811020129958
10,0,65,-12.6739161692223
10,0,65.5,-12.8663250618724
10,0,66,-13.0584096071267
10,0,66.5,-13.2505460827553
10,0,67,-13.4433811771178
10,0,67.5,-13.6377849067727
10,0,68,-13.8347846340495
10,0,68.5,-14.0354850705988
10,0,69,-14.2409800783898
10,0,69.5,-14.4522622926261
10,0,70,-14.6701362796485
10,0,70.5,-14.8951403867325
10,0,71,-15.1274819143869
10,0,71.5,-15.366989928919
10,0,72,-15.6130899661582
10,0,72.5,-15.864804907736
10,0,73,-16.1207861125165
10,0,73.5,-16.3793779984668
10,0,74,-16.6387172092676
10,0,74.5,-16.8968639346224
10,0,75,-17.1519579444198
10,0,75.5,-17.4023861122474
10,0,76,-17.6469429705347
10,0,76.5,-17.8849628901819
10,0,77,-18.1164033561739
10,0,77.5,-18.3418641328549
10,0,78,-18.5625360657263
10,0,78.5,-18.7800837199297
10,0,79,-18.9964753341977
10,0,79.5,-19.2137795278824
10,0,80,-19.4339500249099
10,0,80.5,-19.6586180134049
10,0,81,-19.8889082831141
10,0,81.5,-20.1252918043775
10,0,82,-20.3674852503673
10,0,82.5,-20.6144075078357
10,0,83,-20.8642037973142
10,0,83.5,-21.1143479820192
10,0,84,-21.3618306860182
10,0,84.5,-21.6034327185159
10,0,85,-21.8360689977143
10,0,85.5,-22.0571693268976
10,0,86,-22.2650441292924
10,0,86.5,-22.4591732614248
10,0,87,-22.6403611858797
10,0,87.5,-22.8107238241974
10,0,88,-22.9735054604398
10,0,88.5,-23.1327566650326
10,0,89,-23.2929250801377
10,0,89.5,-23.4584146500281
10,0,90,-23.6331578096325
10,0,90.5,-23.8202267937063
10,0,91,-24.0214930861042
10,0,91.5,-24.2373344532572
10,0,92,-24.4663903794002
10,0,92.5,-24.7053799417444
10,0,93,-24.9490198369996
10,0,93.5,-25.1901093111821
10,0,94,-25.4198713783639
10,0,94.5,-25.6286353290897
10,0,95,-25.8068892191251
10,0,95.5,-25.9466112605821
10,0,96,-26.04263479544
10,0,96.5,-26.0936933920515
10,0,97,-26.1028235241961
10,0,97.5,-26.0769961706283
10,0,98,-26.0261142118789
10,0,98.5,-25.9617016310237
10,0,99,-25.8956352376557
10,0,99.5,-25.8391570651114
10,0,100,-25.8022492859799
10,0,100.5,-25.7933324299637
10,0,101,-25.8191889802677
10,0,101.5,-25.8850055796317
10,0,102,-25.9944432956478
10,0,102.5,-26.1496670596251
10,0,103,-26.3512826705773
10,0,103.5,-26.5981408478582
10,0,104,-26.8869766504055
10,0,104.5,-27.2118684400925
10,0,105,-27.5635396157551
10,0,105.5,-27.9286123106799
10,0,106,-28.2890782129384
10,0,106.5,-28.6224673749558
10,0,107,-28.9033597699953
10,0,107.5,-29.1067280988232
10,0,108,-29.2128291089944
10,0,108.5,-29.212118984224
10,0,109,-29.1079185315678
10,0,109.5,-28.9153705364018
10,0,110,-28.6572823891665
10,0,110.5,-28.3589804638744
10,0,111,-28.0441826266251
10,0,111.5,-27.73271720184
10,0,112,-27.4398670280183
10,0,112.5,-27.176707326353
10,0,113,-26.9508672399029
10,0,113.5,-26.7673606440763
10,0,114,-26.6293206799117
10,0,114.5,-26.5385879472829
10,0,115,-26.4961579580224
10,0,115.5,-26.5025137506537
10,0,116,-26.5578728039706
10,0,116.5,-26.6623739721671
10,0,117,-26.8162251103964
10,0,117.5,-27.019827418435
10,0,118,-27.2738889486586
10,0,118.5,-27.5795372640186
10,0,119,-27.938439740886
10,0,119.5,-28.3529392532563
10,0,120,-28.8262125924555
10,0,120.5,-29.3624582827365
10,0,121,-29.9671178690097
10,0,121.5,-30.6471264011268
10,0,122,-31.4111639536636
10,0,122.5,-32.2698155509835
10,0,123,-33.2353764073194
10,0,123.5,-34.3205902091551
10,0,124,-35.5344310342233
10,0,124.5,-36.8700822273066
10,0,125,-38.2740814506515
10,0,125.5,-39.5815892955402
10,0,126,-40.4494734118568
10,0,126.5,-40.4892704405095
10,0,127,-39.6746712506496
10,0,127.5,-38.3762167867911
10,0,128,-36.9545558058295
10,0,128.5,-35.5912972196827
10,0,129,-34.3478398051349
10,0,129.5,-33.2336751514027
10,0,130,-32.240134130791
10,0,130.5,-31.3536856315536
10,0,131,-30.5606243427985
10,0,131.5,-29.8484780579709
10,0,132,-29.2062272583973
10,0,132.5,-28.6241294336107
10,0,133,-28.0934444417953
10,0,133.5,-27.606170038689
10,0,134,-27.1548270197178
10,0,134.5,-26.732308442863
10,0,135,-26.3317988537781
10,0,135.5,-25.9467657730607
10,0,136,-25.5710218879759
10,0,136.5,-25.1988503019476
10,0,137,-24.8251766243049
10,0,137.5,-24.4457621487594
10,0,138,-24.0573848390649
10,0,138.5,-23.6579727953718
10,0,139,-23.2466607221684
10,0,139.5,-22.8237534379115
10,0,140,-22.3905983290568
10,0,140.5,-21.9493855958619
10,0,141,-21.5029062831045
10,0,141.5,-21.054301017452
10,0,142,-20.6068277897641
10,0,142.5,-20.1636679451046
10,0,143,-19.7277792596876
10,0,143.5,-19.3017962679242
10,0,144,-18.8879721550699
10,0,144.5,-18.4881536365297
10,0,145,-18.1037796726813
10,0,145.5,-17.7358957641196
10,0,146,-17.3851771764018
10,0,146.5,-17.0519562190575
10,0,147,-16.7362503414647
10,0,147.5,-16.4377891723622
10,0,148,-16.1560396931649
10,0,148.5,-15.8902295258336
10,0,149,-15.6393688801996
10,0,149.5,-15.4022720867013
10,0,150,-15.1775798682453
10,0,150.5,-14.9637835924565
10,0,151,-14.7592526910757
10,0,151.5,-14.5622662255133
10,0,152,-14.3710492048796
10,0,152.5,-14.1838137243879
10,0,153,-13.9988043102869
10,0,153.5,-13.8143460883006
10,0,154,-13.6288936291617
10,0,154.5,-13.4410776909706
10,0,155,-13.2497467082671
10,0,155.5,-13.053999886012
10,0,156,-12.8532092022848
10,0,156.5,-12.6470284838518
10,0,157,-12.4353888824288
10,0,157.5,-12.2184813649918
10,0,158,-11.9967280284801
10,0,158.5,-11.7707449691251
10,0,159,-11.5412999562326
10,0,159.5,-11.3092682440969
10,0,160,-11.0755895525919
10,0,160.5,-10.8412286651999
10,0,161,-10.6071413662012
10,0,161.5,-10.3742466926319
10,0,162,-10.1434058082285
10,0,162.5,-9.91540727425361
10,0,163,-9.69095811747026
10,0,163.5,-9.47067987210557
10,0,164,-9.25510867653588
10,0,164.5,-9.04469850534051
10,0,165,-8.83982668184512
10,0,165.5,-8.64080091811963
10,0,166,-8.44786724757152
10,0,166.5,-8.26121833507684
10,0,167,-8.08100176182695
10,0,167.5,-7.90732798182484
10,0,168,-7.74027773235101
10,0,168.5,-7.57990875176924
10,0,169,-7.42626171587427
10,0,169.5,-7.27936535019876
10,0,170,-7.13924071200834
10,0,170.5,-7.0059046637209
10,0,171,-6.87937258058805
10,0,171.5,-6.75966035083833
10,0,172,-6.64678573706072
10,0,172.5,-6.54076917419095
10,0,173,-6.44163408270934
10,0,173.5,-6.34940677613943
10,0,174,-6.26411604015931
10,0,174.5,-6.18579245707003
10,0,175,-6.11446754444082
10,0,175.5,-6.05017277086977
10,0,176,-5.99293850532255
10,0,176.5,-5.94279294976439
10,0,177,-5.89976109804896
10,0,177.5,-5.86386375749235
10,0,178,-5.83511666339545
10,0,178.5,-5.81352971109092
10,0,179,-5.79910632492081
10,0,179.5,-5.79184297890124
10,0,180,-5.79172887964769
